rxn_src	dir	enz	protein_stoich	status	comments
NTD4pp_c	FWD	YGL224C	YGL224C:1	protStoichAsgnAuto	
NTD11_c	FWD	YOR155C	YOR155C:4	protStoichAsgnAuto	
NTD2pp_c	FWD	YER037W	YER037W:1	protStoichAsgnAuto	
NTD2pp_c	FWD	YGL224C	YGL224C:1	protStoichAsgnAuto	
PRFGS_c	FWD	YGR061C	YGR061C:1	protStoichAsgnAuto	
MTHFR3_c	FWD	YPL023C	YPL023C:1	protStoichAsgnAuto	
MTHFR3_c	FWD	YGL125W	YGL125W:1	protStoichAsgnAuto	
ALAS_m	FWD	YDR232W	YDR232W:2	protStoichAsgnManual	Homodimer (PubMed:6381051). Interacts with MCX1 (PubMed:25957689).
5DPMIPPH_c	FWD	YOR163W	YOR163W:1	protStoichAsgnAuto	
PMI12346PS_c	FWD	YDR017C	YDR017C:1	protStoichAsgnAuto	
MHPGLUT_c	FWD	YER091C	YER091C:1	protStoichAsgnAuto	
MDRPD_c	FWD	YJR024C	YJR024C:1	protStoichAsgnAuto	
MTRI_c	FWD	YPR118W	YPR118W:2	protStoichAsgnAuto	
MTRI_c	REV	YPR118W	YPR118W:2	protStoichAsgnAuto	
IPPYP2_c	FWD	YLR410W	YLR410W:1	protStoichAsgnAuto	
IPPYP2_c	REV	YLR410W	YLR410W:1	protStoichAsgnAuto	
IPPYP3_c	FWD	YLR410W	YLR410W:1	protStoichAsgnAuto	
IPPYP3_c	REV	YLR410W	YLR410W:1	protStoichAsgnAuto	
PFK_4_c	FWD	YOL136C	YOL136C:1	protStoichAsgnAuto	
PFK_4_c	FWD	YIL107C	YIL107C:1	protStoichAsgnAuto	
PGL_c	FWD	YGR248W	YGR248W:1	protStoichAsgnAuto	
PGL_c	FWD	YHR163W	YHR163W:1	protStoichAsgnAuto	
6DPMIPPH_c	FWD	YLR410W	YLR410W:1	protStoichAsgnAuto	
6DPMIPPH_c	REV	YLR410W	YLR410W:1	protStoichAsgnAuto	
6DPMIPPH_c	FWD	YOR163W	YOR163W:1	protStoichAsgnAuto	
6DPMIPPH_c	REV	YOR163W	YOR163W:1	protStoichAsgnAuto	
IPPYP4_c	FWD	YDR017C	YDR017C:1	protStoichAsgnAuto	
AOXS_c	FWD	YAR069W-A	YAR069W-A:1	protStoichAsgnAuto	
AOXS_c	FWD	YHR214W-F	YHR214W-F:1	protStoichAsgnAuto	
ACALDCD_c	FWD	YGR087C	YGR087C:4	protStoichAsgnAuto	
ACALDCD_c	FWD	YLR044C	YLR044C:4	protStoichAsgnAuto	
ACALDCD_c	FWD	YLR134W	YLR134W:4	protStoichAsgnAuto	
KARA1i_m	FWD	YLR355C	YLR355C:1	protStoichAsgnAuto	
ACOATA_m	FWD	YKL192C	YKL192C:1	protStoichAsgnManual	Complex I is composed of about 30 different subunits.
ACOATA_m	REV	YKL192C	YKL192C:1	protStoichAsgnManual	Complex I is composed of about 30 different subunits.
ACACT180i_x	FWD	YIL160C	YIL160C:2	protStoichAsgnAuto	
ACACT260i_x	FWD	YIL160C	YIL160C:2	protStoichAsgnAuto	
ACACT160i_x	FWD	YIL160C	YIL160C:2	protStoichAsgnAuto	
ACACT40ir_c	FWD	YPL028W	YPL028W:1	protStoichAsgnManual	Multimeric.
ACACT40ir_c	REV	YPL028W	YPL028W:1	protStoichAsgnManual	Multimeric.
ACACT40ir_m	FWD	YPL028W	YPL028W:1	protStoichAsgnManual	Multimeric.
ACACT40ir_m	REV	YPL028W	YPL028W:1	protStoichAsgnManual	Multimeric.
ACACT140i_x	FWD	YIL160C	YIL160C:2	protStoichAsgnAuto	
ACACT100i_x	FWD	YIL160C	YIL160C:2	protStoichAsgnAuto	
ACACT120i_x	FWD	YIL160C	YIL160C:2	protStoichAsgnAuto	
ACCOAC_m	FWD	YMR207C	YMR207C:1	protStoichAsgnAuto	
ACOAHi_m	FWD	YBL015W	YBL015W:1	protStoichAsgnAuto	
ACS_c	FWD	YLR153C	YLR153C:1	protStoichAsgnAuto	
ACGK_m	FWD	YER069W	YER069W:1	protStoichAsgnAuto	
ACP1_e	FWD	YBR092C	YBR092C:1	protStoichAsgnAuto	
ACP1_e	FWD	YHR215W	YHR215W:1	protStoichAsgnAuto	
ACP1_e	FWD	YBR093C	YBR093C:1	protStoichAsgnAuto	
ACP1_e	FWD	YAR071W	YAR071W:1	protStoichAsgnAuto	
ACONT2_m	FWD	YPR002W	YPR002W:1	protStoichAsgnAuto	
ACONT2_m	REV	YPR002W	YPR002W:1	protStoichAsgnAuto	
ACOTAi_m	FWD	YOL140W	YOL140W:1	protStoichAsgnAuto	
COAHL_m	FWD	YPL148C	YPL148C:1	protStoichAsgnAuto	
ACOAO100_x	FWD	YGL205W	YGL205W:8	protStoichAsgnAuto	
ACOAO120_x	FWD	YGL205W	YGL205W:8	protStoichAsgnAuto	
ACOAO260_x	FWD	YGL205W	YGL205W:8	protStoichAsgnAuto	
ACOAO160_x	FWD	YGL205W	YGL205W:8	protStoichAsgnAuto	
ACOAO180_x	FWD	YGL205W	YGL205W:8	protStoichAsgnAuto	
ACOAO140_x	FWD	YGL205W	YGL205W:8	protStoichAsgnAuto	
STATe181_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATe181_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATg181_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATg181_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATg181_rm	FWD	YNR019W	YNR019W:1	protStoichAsgnAuto	
STATg181_rm	REV	YNR019W	YNR019W:1	protStoichAsgnAuto	
STATf181_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATf181_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATl181_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATl181_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATz181_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATz181_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATe161_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATe161_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATg161_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATg161_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATg161_rm	FWD	YNR019W	YNR019W:1	protStoichAsgnAuto	
STATg161_rm	REV	YNR019W	YNR019W:1	protStoichAsgnAuto	
STATf161_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATf161_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATl161_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATl161_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATz161_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto	
STATz161_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto	
GPIA3_r	FWD	YJL091C	YJL091C:1	protStoichAsgnAuto	
GPIA3_r	REV	YJL091C	YJL091C:1	protStoichAsgnAuto	
ADD_c	FWD	YNL141W	YNL141W:1	protStoichAsgnAuto	
ADPT_c	FWD	YML022W	YML022W:2	protStoichAsgnAuto	
ADPT_c	FWD	YDR441C	YDR441C:2	protStoichAsgnAuto	
ADA_c	FWD	YNL141W	YNL141W:1	protStoichAsgnAuto	
ADNK1_c	FWD	YJR105W	YJR105W:1	protStoichAsgnAuto	
AMPDA_c	FWD	YML035C	YML035C:4	protStoichAsgnAuto	
AHCi_c	FWD	YER043C	YER043C:1	protStoichAsgnAuto	
ADMDC_c	FWD	YOL052C	YOL052C:1	protStoichAsgnAuto	
AMAOTr_c	FWD	YNR058W	YNR058W:1	protStoichAsgnAuto	
AMAOTr_c	REV	YNR058W	YNR058W:1	protStoichAsgnAuto	
ADNCYC_c	FWD	YJL005W	YJL005W:1	protStoichAsgnAuto	
ADK1_c	FWD	YDR226W	YDR226W:1	protStoichAsgnAuto	
ADK1_c	FWD	YDL166C	YDL166C:1	protStoichAsgnManual	"Interacts with RPS14B. Not a structural component of 43S pre-ribosomes, but transiently interacts with them with them by binding to RPS14."
ADK1_m	FWD	YER170W	YER170W:1	protStoichAsgnAuto	
ADK3_m	FWD	YER170W	YER170W:1	protStoichAsgnAuto	
ADK3_m	REV	YER170W	YER170W:1	protStoichAsgnAuto	
ADSL2i_c	FWD	YLR359W	YLR359W:4	protStoichAsgnAuto	
ADSL1r_c	FWD	YLR359W	YLR359W:4	protStoichAsgnAuto	
ADSL1r_c	REV	YLR359W	YLR359W:4	protStoichAsgnAuto	
ADSS_c	FWD	YNL220W	YNL220W:2	protStoichAsgnAuto	
ADSK_c	FWD	YKL001C	YKL001C:1	protStoichAsgnAuto	
23CAPPD_c	FWD	YGR247W	YGR247W:1	protStoichAsgnAuto	
AGTi_c	FWD	YFL030W	YFL030W:2	protStoichAsgnAuto	
ALATRS_c	FWD	YOR335C	YOR335C:1	protStoichAsgnAuto	
OHACT3_c	FWD	YGR177C	YGR177C:1	protStoichAsgnAuto	
OHACT3_c	FWD	YOR377W	YOR377W:1	protStoichAsgnAuto	
OHACT1_c	FWD	YGR177C	YGR177C:1	protStoichAsgnAuto	
OHACT1_c	FWD	YOR377W	YOR377W:1	protStoichAsgnAuto	
OHACT2_c	FWD	YGR177C	YGR177C:1	protStoichAsgnAuto	
OHACT2_c	FWD	YOR377W	YOR377W:1	protStoichAsgnAuto	
OHACT4_c	FWD	YGR177C	YGR177C:1	protStoichAsgnAuto	
OHACT4_c	FWD	YOR377W	YOR377W:1	protStoichAsgnAuto	
OHACT5_c	FWD	YGR177C	YGR177C:1	protStoichAsgnAuto	
OHACT5_c	FWD	YOR377W	YOR377W:1	protStoichAsgnAuto	
ALCD2i1_c	FWD	YMR303C	YMR303C:4	protStoichAsgnAuto	
ALCD19y_c	FWD	YHR104W	YHR104W:1	protStoichAsgnAuto	
ALCD19y_c	FWD	YDR368W	YDR368W:1	protStoichAsgnAuto	
ALCD2i2_m	FWD	YMR083W	YMR083W:4	protStoichAsgnAuto	
ALCD2i2_m	FWD	YGL256W	YGL256W:2	protStoichAsgnAuto	
ALCD22xi_c	FWD	YBR145W	YBR145W:4	protStoichAsgnAuto	
ALCD22xi_c	FWD	YDL168W	YDL168W:4	protStoichAsgnAuto	
ALCD22xi_c	FWD	YOL086C	YOL086C:4	protStoichAsgnAuto	
ALCD22xi_m	FWD	YMR083W	YMR083W:4	protStoichAsgnAuto	
ALCD22xi_m	FWD	YGL256W	YGL256W:2	protStoichAsgnAuto	
ALCD22yi_c	FWD	YDR368W	YDR368W:1	protStoichAsgnAuto	
ALCD22yi_c	FWD	YMR318C	YMR318C:2	protStoichAsgnAuto	
ALCD22yi_c	FWD	YCR105W	YCR105W:2	protStoichAsgnAuto	
ALCD25xi_c	FWD	YBR145W	YBR145W:4	protStoichAsgnAuto	
ALCD25xi_c	FWD	YDL168W	YDL168W:4	protStoichAsgnAuto	
ALCD25xi_c	FWD	YOL086C	YOL086C:4	protStoichAsgnAuto	
ALCD25xi_m	FWD	YMR083W	YMR083W:4	protStoichAsgnAuto	
ALCD25xi_m	FWD	YGL256W	YGL256W:2	protStoichAsgnAuto	
ALCD25yi_c	FWD	YMR318C	YMR318C:2	protStoichAsgnAuto	
ALCD25yi_c	FWD	YCR105W	YCR105W:2	protStoichAsgnAuto	
ALDD22x_c	FWD	YMR170C	YMR170C:1	protStoichAsgnAuto	
ALDD22x_c	FWD	YMR169C	YMR169C:1	protStoichAsgnAuto	
ALDD22x_c	FWD	YMR110C	YMR110C:1	protStoichAsgnAuto	
ALDD2y_c	FWD	YPL061W	YPL061W:1	protStoichAsgnAuto	
ALDD2x_m	FWD	YOR374W	YOR374W:1	protStoichAsgnAuto	
ALDD2y_m	FWD	YOR374W	YOR374W:1	protStoichAsgnAuto	
ALDD2y_m	FWD	YER073W	YER073W:1	protStoichAsgnAuto	
ALDD20x_m	FWD	YOR374W	YOR374W:1	protStoichAsgnAuto	
ALDD20y_c	FWD	YPL061W	YPL061W:1	protStoichAsgnAuto	
ALDD20y_m	FWD	YER073W	YER073W:1	protStoichAsgnAuto	
ALDD20y_m	FWD	YOR374W	YOR374W:1	protStoichAsgnAuto	
ALCD24xi_c	FWD	YBR145W	YBR145W:4	protStoichAsgnAuto	
ALCD24xi_c	FWD	YOL086C	YOL086C:4	protStoichAsgnAuto	
ALCD24xi_c	FWD	YDL168W	YDL168W:4	protStoichAsgnAuto	
ALCD24xi_m	FWD	YMR083W	YMR083W:4	protStoichAsgnAuto	
ALCD24xi_m	FWD	YGL256W	YGL256W:2	protStoichAsgnAuto	
ALCD24yi_c	FWD	YMR318C	YMR318C:2	protStoichAsgnAuto	
ALCD24yi_c	FWD	YCR105W	YCR105W:2	protStoichAsgnAuto	
ALCD23xi_c	FWD	YBR145W	YBR145W:4	protStoichAsgnAuto	
ALCD23xi_c	FWD	YDL168W	YDL168W:4	protStoichAsgnAuto	
ALCD23xi_c	FWD	YOL086C	YOL086C:4	protStoichAsgnAuto	
ALCD23xi_m	FWD	YMR083W	YMR083W:4	protStoichAsgnAuto	
ALCD23xi_m	FWD	YGL256W	YGL256W:2	protStoichAsgnAuto	
ALCD23yi_c	FWD	YMR318C	YMR318C:2	protStoichAsgnAuto	
ALCD23yi_c	FWD	YCR105W	YCR105W:2	protStoichAsgnAuto	
ALDD19xi_c	FWD	YMR170C	YMR170C:1	protStoichAsgnAuto	
ALDD19xi_c	FWD	YMR169C	YMR169C:1	protStoichAsgnAuto	
ALCD26xi_c	FWD	YBR145W	YBR145W:4	protStoichAsgnAuto	
ALCD26xi_c	FWD	YDL168W	YDL168W:4	protStoichAsgnAuto	
ALCD26xi_c	FWD	YOL086C	YOL086C:4	protStoichAsgnAuto	
ALCD26xi_m	FWD	YMR083W	YMR083W:4	protStoichAsgnAuto	
ALCD26xi_m	FWD	YGL256W	YGL256W:2	protStoichAsgnAuto	
AKP1_c	FWD	YDR481C	YDR481C:1	protStoichAsgnAuto	
ATAH_c	FWD	YIR029W	YIR029W:1	protStoichAsgnAuto	
ATAH_c	REV	YIR029W	YIR029W:1	protStoichAsgnAuto	
ALLTN_c	FWD	YIR027C	YIR027C:4	protStoichAsgnAuto	
ALLTN_c	REV	YIR027C	YIR027C:4	protStoichAsgnAuto	
ALPHNH_c	FWD	YBR208C	YBR208C:1	protStoichAsgnAuto	
12AMANTF_g	FWD	YKR061W	YKR061W:1	protStoichAsgnManual	Interacts with SVP26.
12AMANTF_g	FWD	YBR199W	YBR199W:1	protStoichAsgnManual	Interacts with SVP26.
12AMANTF_g	FWD	YOR099W	YOR099W:1	protStoichAsgnManual	Interacts with SVP26.
12AMANTF_g	FWD	YJL139C	YJL139C:1	protStoichAsgnManual	Interacts with SVP26.
12AMANTF_g	FWD	YBR205W	YBR205W:1	protStoichAsgnManual	Interacts with SVP26.
12AMANTF_g	FWD	YNL029C	YNL029C:1	protStoichAsgnManual	Interacts with SVP26.
12AMANTF_g	FWD	YDR483W	YDR483W:1	protStoichAsgnManual	Interacts with SVP26.
12AMANTF_g	FWD	YPL053C	YPL053C:1	protStoichAsgnManual	Interacts with SVP26.
TREH_v	FWD	YBR001C	YBR001C:1	protStoichAsgnAuto	
TREH_v	FWD	YPR026W	YPR026W:1	protStoichAsgnAuto	
TREH_c	FWD	YDR001C	YDR001C:2	protStoichAsgnAuto	
MALT_c	FWD	YGR292W	YGR292W:1	protStoichAsgnAuto	
MALT_c	FWD	YJL216C	YJL216C:1	protStoichAsgnAuto	
MALT_c	FWD	YJL221C	YJL221C:1	protStoichAsgnAuto	
MALT_c	FWD	YGR287C	YGR287C:1	protStoichAsgnAuto	
MALT_c	FWD	YBR299W	YBR299W:1	protStoichAsgnAuto	
MALT_c	FWD	YIL172C	YIL172C:1	protStoichAsgnAuto	
AMID_c	FWD	HER2PET112GTF1	"YMR293C:1,YBL080C:1,YGR102C:1"	protStoichAsgnManual	"Subunit of the heterotrimeric GatFAB amidotransferase (AdT) complex, composed of A (HER2), B (PET112) and F (YGR102C) subunits."
AACTOOR_c	FWD	UNKNOWN	zeroCost	protStoichAsgnAuto	
ABUTD_m	FWD	YOR374W	YOR374W:1	protStoichAsgnAuto	
ANPRT_c	FWD	YDR354W	YDR354W:1	protStoichAsgnAuto	
AP4AH_c	FWD	YDR305C	YDR305C:2	protStoichAsgnAuto	
AP4AH_c	REV	YDR305C	YDR305C:2	protStoichAsgnAuto	
ARABR_c	FWD	YHR104W	YHR104W:1	protStoichAsgnAuto	
ARGN_c	FWD	YPL111W	YPL111W:3	protStoichAsgnAuto	
ARGSL_c	FWD	YHR018C	YHR018C:4	protStoichAsgnAuto	
ARGSL_c	REV	YHR018C	YHR018C:4	protStoichAsgnAuto	
ARGSS_c	FWD	YOL058W	YOL058W:4	protStoichAsgnAuto	
ARGSS_c	REV	YOL058W	YOL058W:4	protStoichAsgnAuto	
ARGTRS_c	FWD	YDR341C	YDR341C:1	protStoichAsgnAuto	
ARGTRS_m	FWD	YHR091C	YHR091C:1	protStoichAsgnAuto	
ASNS1_c	FWD	YPR145W	YPR145W:1	protStoichAsgnAuto	
ASNS1_c	FWD	YGR124W	YGR124W:1	protStoichAsgnAuto	
ASNTRS_c	FWD	YHR019C	YHR019C:1	protStoichAsgnAuto	
ASNTRS_m	FWD	YCR024C	YCR024C:1	protStoichAsgnAuto	
ASPCT_c	FWD	YJL130C	YJL130C:1	protStoichAsgnAuto	
ASPK_c	FWD	YER052C	YER052C:1	protStoichAsgnAuto	
ASPTAi_m	FWD	YKL106W	YKL106W:2	protStoichAsgnAuto	
ASAD_c	FWD	YDR158W	YDR158W:2	protStoichAsgnAuto	
ASPTRS_c	FWD	YLL018C	YLL018C:2	protStoichAsgnAuto	
ASPTRS_m	FWD	YPL104W	YPL104W:1	protStoichAsgnAuto	
ATPATF1_c	FWD	YDR530C	YDR530C:1	protStoichAsgnAuto	
ATPATF2_c	FWD	YCL050C	YCL050C:1	protStoichAsgnAuto	
ATPATF3_c	FWD	YCL050C	YCL050C:1	protStoichAsgnAuto	
ATPPRT_c	FWD	YER055C	YER055C:1	protStoichAsgnAuto	
14BMANTF_c	FWD	YBR110W	YBR110W:2	protStoichAsgnAuto	
BTS1_c	FWD	YGR286C	YGR286C:1	protStoichAsgnAuto	
BTS1_c	REV	YGR286C	YGR286C:1	protStoichAsgnAuto	
C14STR_c	FWD	YNL280C	YNL280C:1	protStoichAsgnAuto	
C22STDSy_c	FWD	YMR015C	YMR015C:1	protStoichAsgnManual	Interacts with ERG28.
C3STDH2_c	FWD	YGL001C	YGL001C:1	protStoichAsgnManual	"Heterotetramer of ERG25, ERG26, ERG27 and ERG28. ERG28 acts as a scaffold to tether ERG27 and other 4,4-demethylation-related enzymes, forming a demethylation enzyme complex, in the endoplasmic reticulum."
C3STDH1_c	FWD	YGL001C	YGL001C:1	protStoichAsgnManual	"Heterotetramer of ERG25, ERG26, ERG27 and ERG28. ERG28 acts as a scaffold to tether ERG27 and other 4,4-demethylation-related enzymes, forming a demethylation enzyme complex, in the endoplasmic reticulum."
C3STKR1_c	FWD	YLR100W	YLR100W:1	protStoichAsgnManual	"Heterotetramer of ERG25, ERG26, ERG27 and ERG28. ERG28 acts as a scaffold to tether ERG27 and other 4,4-demethylation-related enzymes, forming a demethylation enzyme complex, in the endoplasmic reticulum. Interacts with ERG25 and ERG28. Also interacts with ERG7, but only in lipid particles."
C3STKR2_c	FWD	YLR100W	YLR100W:1	protStoichAsgnManual	"Heterotetramer of ERG25, ERG26, ERG27 and ERG28. ERG28 acts as a scaffold to tether ERG27 and other 4,4-demethylation-related enzymes, forming a demethylation enzyme complex, in the endoplasmic reticulum. Interacts with ERG25 and ERG28. Also interacts with ERG7, but only in lipid particles."
C4STMO1_c	FWD	YGR060W	YGR060W:1	protStoichAsgnManual	"Heterotetramer of ERG25, ERG26, ERG27 and ERG28. ERG28 acts as a scaffold to tether ERG27 and other 4,4-demethylation-related enzymes, forming a demethylation enzyme complex, in the endoplasmic reticulum. Interacts with ERG27 and ERG28."
C4STMO2_c	FWD	YGR060W	YGR060W:1	protStoichAsgnManual	"Heterotetramer of ERG25, ERG26, ERG27 and ERG28. ERG28 acts as a scaffold to tether ERG27 and other 4,4-demethylation-related enzymes, forming a demethylation enzyme complex, in the endoplasmic reticulum. Interacts with ERG27 and ERG28."
C4STMO3_c	FWD	YGR060W	YGR060W:1	protStoichAsgnManual	"Heterotetramer of ERG25, ERG26, ERG27 and ERG28. ERG28 acts as a scaffold to tether ERG27 and other 4,4-demethylation-related enzymes, forming a demethylation enzyme complex, in the endoplasmic reticulum. Interacts with ERG27 and ERG28."
C4STMO4_c	FWD	YGR060W	YGR060W:1	protStoichAsgnManual	"Heterotetramer of ERG25, ERG26, ERG27 and ERG28. ERG28 acts as a scaffold to tether ERG27 and other 4,4-demethylation-related enzymes, forming a demethylation enzyme complex, in the endoplasmic reticulum. Interacts with ERG27 and ERG28."
C5STDS_c	FWD	YLR056W	YLR056W:1	protStoichAsgnManual	Interacts with ERG28.
C8STI_c	FWD	YMR202W	YMR202W:1	protStoichAsgnAuto	
C24STR_r	FWD	YGL012W	YGL012W:1	protStoichAsgnAuto	
CRNOAT_c	FWD	YAR035W	YAR035W:1	protStoichAsgnAuto	
CRNOAT_c	FWD	YER024W	YER024W:1	protStoichAsgnAuto	
CAT_c	FWD	YGR088W	YGR088W:4	protStoichAsgnAuto	
CAT_x	FWD	YDR256C	YDR256C:4	protStoichAsgnAuto	
