id	rxn_src	dir	enz	protein_stoich	status	comments	MW (g/mmol)
RXN-4HBZF_m_FWD-UNKNOWN	4HBZF_m	FWD	UNKNOWN	zeroCost	protStoichAsgnAuto		
RXN-4DPMIPPH_c_FWD-YOR163W	4DPMIPPH_c	FWD	YOR163W	YOR163W:1	protStoichAsgnAuto		21.74428
RXN-4DPMIPPH_c_REV-YOR163W	4DPMIPPH_c	REV	YOR163W	YOR163W:1	protStoichAsgnAuto		21.74428
RXN-4DPMIPPH_c_FWD-YLR410W	4DPMIPPH_c	FWD	YLR410W	YLR410W:1	protStoichAsgnAuto		130.89534
RXN-4DPMIPPH_c_REV-YLR410W	4DPMIPPH_c	REV	YLR410W	YLR410W:1	protStoichAsgnAuto		130.89534
RXN-IPPYP1_c_FWD-YDR017C	IPPYP1_c	FWD	YDR017C	YDR017C:1	protStoichAsgnAuto		120.56792
RXN-MTAP_c_FWD-YLR017W	MTAP_c	FWD	YLR017W	YLR017W:3	protStoichAsgnAuto		114.52881000000001
RXN-NTD4pp_c_FWD-YER037W	NTD4pp_c	FWD	YER037W	YER037W:1	protStoichAsgnAuto		38.01053
RXN-NTD4pp_c_FWD-YGL224C	NTD4pp_c	FWD	YGL224C	YGL224C:1	protStoichAsgnAuto		32.22435
RXN-NTD11_c_FWD-YOR155C	NTD11_c	FWD	YOR155C	YOR155C:4	protStoichAsgnAuto		206.98536
RXN-NTD2pp_c_FWD-YER037W	NTD2pp_c	FWD	YER037W	YER037W:1	protStoichAsgnAuto		38.01053
RXN-NTD2pp_c_FWD-YGL224C	NTD2pp_c	FWD	YGL224C	YGL224C:1	protStoichAsgnAuto		32.22435
RXN-PRFGS_c_FWD-YGR061C	PRFGS_c	FWD	YGR061C	YGR061C:1	protStoichAsgnAuto		150.20158
RXN-MTHFR3_c_FWD-YPL023C	MTHFR3_c	FWD	YPL023C	YPL023C:1	protStoichAsgnAuto		74.55483
RXN-MTHFR3_c_FWD-YGL125W	MTHFR3_c	FWD	YGL125W	YGL125W:1	protStoichAsgnAuto		69.12449
RXN-ALAS_m_FWD-YDR232W	ALAS_m	FWD	YDR232W	YDR232W:2	protStoichAsgnManual	Homodimer (PubMed:6381051). Interacts with MCX1 (PubMed:25957689).	119.78146
RXN-5DPMIPPH_c_FWD-YOR163W	5DPMIPPH_c	FWD	YOR163W	YOR163W:1	protStoichAsgnAuto		21.74428
RXN-PMI12346PS_c_FWD-YDR017C	PMI12346PS_c	FWD	YDR017C	YDR017C:1	protStoichAsgnAuto		120.56792
RXN-MHPGLUT_c_FWD-YER091C	MHPGLUT_c	FWD	YER091C	YER091C:1	protStoichAsgnAuto		86.60105
RXN-MDRPD_c_FWD-YJR024C	MDRPD_c	FWD	YJR024C	YJR024C:1	protStoichAsgnAuto		27.64866
RXN-MTRI_c_FWD-YPR118W	MTRI_c	FWD	YPR118W	YPR118W:2	protStoichAsgnAuto		90.79764
RXN-MTRI_c_REV-YPR118W	MTRI_c	REV	YPR118W	YPR118W:2	protStoichAsgnAuto		90.79764
RXN-IPPYP2_c_FWD-YLR410W	IPPYP2_c	FWD	YLR410W	YLR410W:1	protStoichAsgnAuto		130.89534
RXN-IPPYP2_c_REV-YLR410W	IPPYP2_c	REV	YLR410W	YLR410W:1	protStoichAsgnAuto		130.89534
RXN-IPPYP3_c_FWD-YLR410W	IPPYP3_c	FWD	YLR410W	YLR410W:1	protStoichAsgnAuto		130.89534
RXN-IPPYP3_c_REV-YLR410W	IPPYP3_c	REV	YLR410W	YLR410W:1	protStoichAsgnAuto		130.89534
RXN-PFK_4_c_FWD-YOL136C	PFK_4_c	FWD	YOL136C	YOL136C:1	protStoichAsgnAuto		45.683
RXN-PFK_4_c_FWD-YIL107C	PFK_4_c	FWD	YIL107C	YIL107C:1	protStoichAsgnAuto		94.23224
RXN-PGL_c_FWD-YGR248W	PGL_c	FWD	YGR248W	YGR248W:1	protStoichAsgnAuto		28.67642
RXN-PGL_c_FWD-YHR163W	PGL_c	FWD	YHR163W	YHR163W:1	protStoichAsgnAuto		28.00819
RXN-6DPMIPPH_c_FWD-YLR410W	6DPMIPPH_c	FWD	YLR410W	YLR410W:1	protStoichAsgnAuto		130.89534
RXN-6DPMIPPH_c_REV-YLR410W	6DPMIPPH_c	REV	YLR410W	YLR410W:1	protStoichAsgnAuto		130.89534
RXN-6DPMIPPH_c_FWD-YOR163W	6DPMIPPH_c	FWD	YOR163W	YOR163W:1	protStoichAsgnAuto		21.74428
RXN-6DPMIPPH_c_REV-YOR163W	6DPMIPPH_c	REV	YOR163W	YOR163W:1	protStoichAsgnAuto		21.74428
RXN-IPPYP4_c_FWD-YDR017C	IPPYP4_c	FWD	YDR017C	YDR017C:1	protStoichAsgnAuto		120.56792
RXN-AOXS_c_FWD-YAR069W-A	AOXS_c	FWD	YAR069W-A	YAR069W-A:1	protStoichAsgnAuto		49.02498
RXN-AOXS_c_FWD-YHR214W-F	AOXS_c	FWD	YHR214W-F	YHR214W-F:1	protStoichAsgnAuto		49.02498
RXN-ACALDCD_c_FWD-YGR087C	ACALDCD_c	FWD	YGR087C	YGR087C:4	protStoichAsgnAuto		248.463
RXN-ACALDCD_c_FWD-YLR044C	ACALDCD_c	FWD	YLR044C	YLR044C:4	protStoichAsgnAuto		248.12296
RXN-ACALDCD_c_FWD-YLR134W	ACALDCD_c	FWD	YLR134W	YLR134W:4	protStoichAsgnAuto		249.79372
RXN-KARA1i_m_FWD-YLR355C	KARA1i_m	FWD	YLR355C	YLR355C:1	protStoichAsgnAuto		44.753
RXN-ACOATA_m_FWD-YKL192C	ACOATA_m	FWD	YKL192C	YKL192C:1	protStoichAsgnManual	Complex I is composed of about 30 different subunits.	14.04452
RXN-ACOATA_m_REV-YKL192C	ACOATA_m	REV	YKL192C	YKL192C:1	protStoichAsgnManual	Complex I is composed of about 30 different subunits.	14.04452
RXN-ACACT180i_x_FWD-YIL160C	ACACT180i_x	FWD	YIL160C	YIL160C:2	protStoichAsgnAuto		90.26002
RXN-ACACT260i_x_FWD-YIL160C	ACACT260i_x	FWD	YIL160C	YIL160C:2	protStoichAsgnAuto		90.26002
RXN-ACACT160i_x_FWD-YIL160C	ACACT160i_x	FWD	YIL160C	YIL160C:2	protStoichAsgnAuto		90.26002
RXN-ACACT40ir_c_FWD-YPL028W	ACACT40ir_c	FWD	YPL028W	YPL028W:1	protStoichAsgnManual	Multimeric.	42.10836
RXN-ACACT40ir_c_REV-YPL028W	ACACT40ir_c	REV	YPL028W	YPL028W:1	protStoichAsgnManual	Multimeric.	42.10836
RXN-ACACT40ir_m_FWD-YPL028W	ACACT40ir_m	FWD	YPL028W	YPL028W:1	protStoichAsgnManual	Multimeric.	42.10836
RXN-ACACT40ir_m_REV-YPL028W	ACACT40ir_m	REV	YPL028W	YPL028W:1	protStoichAsgnManual	Multimeric.	42.10836
RXN-ACACT140i_x_FWD-YIL160C	ACACT140i_x	FWD	YIL160C	YIL160C:2	protStoichAsgnAuto		90.26002
RXN-ACACT100i_x_FWD-YIL160C	ACACT100i_x	FWD	YIL160C	YIL160C:2	protStoichAsgnAuto		90.26002
RXN-ACACT120i_x_FWD-YIL160C	ACACT120i_x	FWD	YIL160C	YIL160C:2	protStoichAsgnAuto		90.26002
RXN-ACCOAC_m_FWD-YMR207C	ACCOAC_m	FWD	YMR207C	YMR207C:1	protStoichAsgnAuto		243.89632
RXN-ACOAHi_m_FWD-YBL015W	ACOAHi_m	FWD	YBL015W	YBL015W:1	protStoichAsgnAuto		59.21237
RXN-ACS_c_FWD-YLR153C	ACS_c	FWD	YLR153C	YLR153C:1	protStoichAsgnAuto		76.14679
RXN-ACGK_m_FWD-YER069W	ACGK_m	FWD	YER069W	YER069W:1	protStoichAsgnAuto		95.7184
RXN-ACP1_e_FWD-YBR092C	ACP1_e	FWD	YBR092C	YBR092C:1	protStoichAsgnAuto		53.19367
RXN-ACP1_e_FWD-YHR215W	ACP1_e	FWD	YHR215W	YHR215W:1	protStoichAsgnAuto		53.1309
RXN-ACP1_e_FWD-YBR093C	ACP1_e	FWD	YBR093C	YBR093C:1	protStoichAsgnAuto		53.28064
RXN-ACP1_e_FWD-YAR071W	ACP1_e	FWD	YAR071W	YAR071W:1	protStoichAsgnAuto		53.18898
RXN-ACONT2_m_FWD-YPR002W	ACONT2_m	FWD	YPR002W	YPR002W:1	protStoichAsgnAuto		58.19317
RXN-ACONT2_m_REV-YPR002W	ACONT2_m	REV	YPR002W	YPR002W:1	protStoichAsgnAuto		58.19317
RXN-ACOTAi_m_FWD-YOL140W	ACOTAi_m	FWD	YOL140W	YOL140W:1	protStoichAsgnAuto		47.086
RXN-COAHL_m_FWD-YPL148C	COAHL_m	FWD	YPL148C	YPL148C:1	protStoichAsgnAuto		20.132
RXN-ACOAO100_x_FWD-YGL205W	ACOAO100_x	FWD	YGL205W	YGL205W:8	protStoichAsgnAuto		678.22664
RXN-ACOAO120_x_FWD-YGL205W	ACOAO120_x	FWD	YGL205W	YGL205W:8	protStoichAsgnAuto		678.22664
RXN-ACOAO260_x_FWD-YGL205W	ACOAO260_x	FWD	YGL205W	YGL205W:8	protStoichAsgnAuto		678.22664
RXN-ACOAO160_x_FWD-YGL205W	ACOAO160_x	FWD	YGL205W	YGL205W:8	protStoichAsgnAuto		678.22664
RXN-ACOAO180_x_FWD-YGL205W	ACOAO180_x	FWD	YGL205W	YGL205W:8	protStoichAsgnAuto		678.22664
RXN-ACOAO140_x_FWD-YGL205W	ACOAO140_x	FWD	YGL205W	YGL205W:8	protStoichAsgnAuto		678.22664
RXN-STATe181_rm_FWD-YCR048W	STATe181_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATe181_rm_REV-YCR048W	STATe181_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATg181_rm_FWD-YCR048W	STATg181_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATg181_rm_REV-YCR048W	STATg181_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATg181_rm_FWD-YNR019W	STATg181_rm	FWD	YNR019W	YNR019W:1	protStoichAsgnAuto		74.64712
RXN-STATg181_rm_REV-YNR019W	STATg181_rm	REV	YNR019W	YNR019W:1	protStoichAsgnAuto		74.64712
RXN-STATf181_rm_FWD-YCR048W	STATf181_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATf181_rm_REV-YCR048W	STATf181_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATl181_rm_FWD-YCR048W	STATl181_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATl181_rm_REV-YCR048W	STATl181_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATz181_rm_FWD-YCR048W	STATz181_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATz181_rm_REV-YCR048W	STATz181_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATe161_rm_FWD-YCR048W	STATe161_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATe161_rm_REV-YCR048W	STATe161_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATg161_rm_FWD-YCR048W	STATg161_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATg161_rm_REV-YCR048W	STATg161_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATg161_rm_FWD-YNR019W	STATg161_rm	FWD	YNR019W	YNR019W:1	protStoichAsgnAuto		74.64712
RXN-STATg161_rm_REV-YNR019W	STATg161_rm	REV	YNR019W	YNR019W:1	protStoichAsgnAuto		74.64712
RXN-STATf161_rm_FWD-YCR048W	STATf161_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATf161_rm_REV-YCR048W	STATf161_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATl161_rm_FWD-YCR048W	STATl161_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATl161_rm_REV-YCR048W	STATl161_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATz161_rm_FWD-YCR048W	STATz161_rm	FWD	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-STATz161_rm_REV-YCR048W	STATz161_rm	REV	YCR048W	YCR048W:1	protStoichAsgnAuto		72.21028
RXN-GPIA3_r_FWD-YJL091C	GPIA3_r	FWD	YJL091C	YJL091C:1	protStoichAsgnAuto		55.95582
RXN-GPIA3_r_REV-YJL091C	GPIA3_r	REV	YJL091C	YJL091C:1	protStoichAsgnAuto		55.95582
RXN-ADD_c_FWD-YNL141W	ADD_c	FWD	YNL141W	YNL141W:1	protStoichAsgnAuto		39.94656
RXN-ADPT_c_FWD-YML022W	ADPT_c	FWD	YML022W	YML022W:2	protStoichAsgnAuto		41.4993
RXN-ADPT_c_FWD-YDR441C	ADPT_c	FWD	YDR441C	YDR441C:2	protStoichAsgnAuto		40.2734
RXN-ADA_c_FWD-YNL141W	ADA_c	FWD	YNL141W	YNL141W:1	protStoichAsgnAuto		39.94656
RXN-ADNK1_c_FWD-YJR105W	ADNK1_c	FWD	YJR105W	YJR105W:1	protStoichAsgnAuto		36.68092
RXN-AMPDA_c_FWD-YML035C	AMPDA_c	FWD	YML035C	YML035C:4	protStoichAsgnAuto		376.3144
RXN-AHCi_c_FWD-YER043C	AHCi_c	FWD	YER043C	YER043C:1	protStoichAsgnAuto		49.54504
RXN-ADMDC_c_FWD-YOL052C	ADMDC_c	FWD	YOL052C	YOL052C:1	protStoichAsgnAuto		46.5958
RXN-AMAOTr_c_FWD-YNR058W	AMAOTr_c	FWD	YNR058W	YNR058W:1	protStoichAsgnAuto		54.1602
RXN-AMAOTr_c_REV-YNR058W	AMAOTr_c	REV	YNR058W	YNR058W:1	protStoichAsgnAuto		54.1602
RXN-ADNCYC_c_FWD-YJL005W	ADNCYC_c	FWD	YJL005W	YJL005W:1	protStoichAsgnAuto		229.83395
RXN-ADK1_c_FWD-YDR226W	ADK1_c	FWD	YDR226W	YDR226W:1	protStoichAsgnAuto		24.4556
RXN-ADK1_c_FWD-YDL166C	ADK1_c	FWD	YDL166C	YDL166C:1	protStoichAsgnManual	Interacts with RPS14B. Not a structural component of 43S pre-ribosomes, but transiently interacts with them with them by binding to RPS14.	22.88079
RXN-ADK1_m_FWD-YER170W	ADK1_m	FWD	YER170W	YER170W:1	protStoichAsgnAuto		25.40377
RXN-ADK3_m_FWD-YER170W	ADK3_m	FWD	YER170W	YER170W:1	protStoichAsgnAuto		25.40377
RXN-ADK3_m_REV-YER170W	ADK3_m	REV	YER170W	YER170W:1	protStoichAsgnAuto		25.40377
RXN-ADSL2i_c_FWD-YLR359W	ADSL2i_c	FWD	YLR359W	YLR359W:4	protStoichAsgnAuto		219.86776
RXN-ADSL1r_c_FWD-YLR359W	ADSL1r_c	FWD	YLR359W	YLR359W:4	protStoichAsgnAuto		219.86776
RXN-ADSL1r_c_REV-YLR359W	ADSL1r_c	REV	YLR359W	YLR359W:4	protStoichAsgnAuto		219.86776
RXN-ADSS_c_FWD-YNL220W	ADSS_c	FWD	YNL220W	YNL220W:2	protStoichAsgnAuto		97.39162
RXN-ADSK_c_FWD-YKL001C	ADSK_c	FWD	YKL001C	YKL001C:1	protStoichAsgnAuto		23.24623
RXN-23CAPPD_c_FWD-YGR247W	23CAPPD_c	FWD	YGR247W	YGR247W:1	protStoichAsgnAuto		26.95235
RXN-AGTi_c_FWD-YFL030W	AGTi_c	FWD	YFL030W	YFL030W:2	protStoichAsgnAuto		84.55166
RXN-ALATRS_c_FWD-YOR335C	ALATRS_c	FWD	YOR335C	YOR335C:1	protStoichAsgnAuto		108.19082
RXN-OHACT3_c_FWD-YGR177C	OHACT3_c	FWD	YGR177C	YGR177C:1	protStoichAsgnAuto		62.39926
RXN-OHACT3_c_FWD-YOR377W	OHACT3_c	FWD	YOR377W	YOR377W:1	protStoichAsgnAuto		61.53839
RXN-OHACT1_c_FWD-YGR177C	OHACT1_c	FWD	YGR177C	YGR177C:1	protStoichAsgnAuto		62.39926
RXN-OHACT1_c_FWD-YOR377W	OHACT1_c	FWD	YOR377W	YOR377W:1	protStoichAsgnAuto		61.53839
RXN-OHACT2_c_FWD-YGR177C	OHACT2_c	FWD	YGR177C	YGR177C:1	protStoichAsgnAuto		62.39926
RXN-OHACT2_c_FWD-YOR377W	OHACT2_c	FWD	YOR377W	YOR377W:1	protStoichAsgnAuto		61.53839
RXN-OHACT4_c_FWD-YGR177C	OHACT4_c	FWD	YGR177C	YGR177C:1	protStoichAsgnAuto		62.39926
RXN-OHACT4_c_FWD-YOR377W	OHACT4_c	FWD	YOR377W	YOR377W:1	protStoichAsgnAuto		61.53839
RXN-OHACT5_c_FWD-YGR177C	OHACT5_c	FWD	YGR177C	YGR177C:1	protStoichAsgnAuto		62.39926
RXN-OHACT5_c_FWD-YOR377W	OHACT5_c	FWD	YOR377W	YOR377W:1	protStoichAsgnAuto		61.53839
RXN-ALCD2i1_c_FWD-YMR303C	ALCD2i1_c	FWD	YMR303C	YMR303C:4	protStoichAsgnAuto		148.23028
RXN-ALCD19y_c_FWD-YHR104W	ALCD19y_c	FWD	YHR104W	YHR104W:1	protStoichAsgnAuto		37.42541
RXN-ALCD19y_c_FWD-YDR368W	ALCD19y_c	FWD	YDR368W	YDR368W:1	protStoichAsgnAuto		35.04771
RXN-ALCD2i2_m_FWD-YMR083W	ALCD2i2_m	FWD	YMR083W	YMR083W:4	protStoichAsgnAuto		162.92468
RXN-ALCD2i2_m_FWD-YGL256W	ALCD2i2_m	FWD	YGL256W	YGL256W:2	protStoichAsgnAuto		82.99342
RXN-ALCD22xi_c_FWD-YBR145W	ALCD22xi_c	FWD	YBR145W	YBR145W:4	protStoichAsgnAuto		151.89884
RXN-ALCD22xi_c_FWD-YDL168W	ALCD22xi_c	FWD	YDL168W	YDL168W:4	protStoichAsgnAuto		165.6264
RXN-ALCD22xi_c_FWD-YOL086C	ALCD22xi_c	FWD	YOL086C	YOL086C:4	protStoichAsgnAuto		148.69928
RXN-ALCD22xi_m_FWD-YMR083W	ALCD22xi_m	FWD	YMR083W	YMR083W:4	protStoichAsgnAuto		162.92468
RXN-ALCD22xi_m_FWD-YGL256W	ALCD22xi_m	FWD	YGL256W	YGL256W:2	protStoichAsgnAuto		82.99342
RXN-ALCD22yi_c_FWD-YDR368W	ALCD22yi_c	FWD	YDR368W	YDR368W:1	protStoichAsgnAuto		35.04771
RXN-ALCD22yi_c_FWD-YMR318C	ALCD22yi_c	FWD	YMR318C	YMR318C:2	protStoichAsgnAuto		79.91038
RXN-ALCD22yi_c_FWD-YCR105W	ALCD22yi_c	FWD	YCR105W	YCR105W:2	protStoichAsgnAuto		79.38038
